,language,title,description,categories,guided,completed
0,Python,The Hottest Topics in Machine Learning,Use Natural Language Processing on NIPS papers to uncover the trendiest topics in machine learning research.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
1,SQL,Analyzing Unicorn Companies,Use skills gained in Intermediate SQL to find out how many companies reached a valuation of over $1 billion across different industries between 2019 and 2021!,"['Importing & Cleaning Data', 'Case Studies']",unguided,0
2,SQL,Analyze International Debt Statistics,Write SQL queries to answer interesting questions about international debt using data from The World Bank.,"['Data Manipulation', 'Importing & Cleaning Data']",guided,0
3,SQL,Analyzing NYC Public School Test Result Scores,Use summary statistics and filters to analyze test scores across New York City's public schools!,"['Data Manipulation', 'Programming']",guided,0
4,SQL,Optimizing Online Sports Retail Revenue,Analyze product data for an online sports retail company to optimize revenue. ,['Data Manipulation'],guided,0
5,Python,What and Where are the World's Oldest Businesses,Use joining techniques to discover the oldest businesses in the world.,['Data Manipulation'],guided,0
6,SQL,What and Where are the World's Oldest Businesses,Use joining techniques to discover the oldest businesses in the world.,['Data Manipulation'],guided,0
7,SQL,Analyzing American Baby Name Trends,Use categorization and ranking techniques to explore 101 years of American baby name tastes.  ,['Data Manipulation'],guided,0
8,R,Introduction to DataCamp Projects,"If you've never done a DataCamp project, this is the place to start! ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
9,Python,Introduction to DataCamp Projects,"If you've never done a DataCamp project, this is the place to start! ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
10,SQL,Introduction to DataCamp Projects,"If you've never done a DataCamp project, this is the place to start! ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
11,SQL,When Was the Golden Age of Video Games?,Use joins and set theory to discover the best years for video games!,['Data Manipulation'],guided,0
12,Python,Predicting Credit Card Approvals,Build a machine learning model to predict if a credit card application will get approved. ,"['Data Manipulation', 'Machine Learning', 'Importing & Cleaning Data', 'Applied Finance']",guided,0
13,R,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",guided,0
14,R,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",unguided,0
15,Python,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",guided,0
16,Python,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",unguided,0
17,R,A Visual History of Nobel Prize Winners,Explore a dataset from Kaggle containing a century's worth of Nobel Laureates. Who won? Who got snubbed?,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
18,Python,A Visual History of Nobel Prize Winners,Explore a dataset from Kaggle containing a century's worth of Nobel Laureates. Who won? Who got snubbed?,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
19,Python,Writing Functions for Product Analysis,Use coding best practices and functions to improve a script!,['Programming'],guided,0
20,Python,The GitHub History of the Scala Language,Find the true Scala experts by exploring its development history in Git and GitHub.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
21,Python,The Android App Market on Google Play,"Load, clean, and visualize scraped Google Play Store data to gain insights into the Android app market.","['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
22,Python,The Android App Market on Google Play,"Load, clean, and visualize scraped Google Play Store data to gain insights into the Android app market.","['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",unguided,0
23,Python,Investigating Netflix Movies and Guest Stars in The Office,Apply the foundational Python skills you learned in Introduction to Python and Intermediate Python by manipulating and visualizing movie and TV data.,"['Data Manipulation', 'Data Visualization', 'Programming', 'Case Studies']",guided,0
24,Python,Investigating Netflix Movies and Guest Stars in The Office,Apply the foundational Python skills you learned in Introduction to Python and Intermediate Python by manipulating and visualizing movie and TV data.,"['Data Manipulation', 'Data Visualization', 'Programming', 'Case Studies']",unguided,0
25,R,Rise and Fall of Programming Languages,Analyze the relative popularity of programming languages over time based on Stack Overflow data.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
26,R,Rise and Fall of Programming Languages,Analyze the relative popularity of programming languages over time based on Stack Overflow data.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",unguided,0
27,R,Visualizing COVID-19,Visualize the rise of COVID-19 cases globally with ggplot2. ,"['Data Visualization', 'Case Studies']",guided,0
28,R,Phyllotaxis: Draw Flowers Using Mathematics,Use R to make art and create imaginary flowers inspired by nature.,"['Data Visualization', 'Case Studies']",guided,0
29,Python,Risk and Returns: The Sharpe Ratio,Use pandas to calculate and compare profitability and risk of different investments using the Sharpe Ratio.,"['Applied Finance', 'Case Studies']",guided,0
30,R,Exploring the Kaggle Data Science Survey,Discover the top tools Kaggle participants use for data science and machine learning. ,"['Data Manipulation', 'Data Visualization', 'Case Studies']",guided,0
31,Python,A Network Analysis of Game of Thrones,Analyze the network of characters in Game of Thrones and how it changes over the course of the books.,['Case Studies'],guided,0
32,R,Wrangling and Visualizing Musical Data,Wrangle and visualize musical data to find common chords and compare the styles of different artists.,['Case Studies'],guided,0
33,Python,Exploring the Bitcoin Cryptocurrency Market,You will explore the market capitalization of Bitcoin and other cryptocurrencies.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
34,Python,Name Game: Gender Prediction using Sound,Analyze the gender distribution of children's book writers and use sound to match names to gender.,['Case Studies'],guided,0
35,Python,Exploring the Evolution of Linux,Find out about the evolution of the Linux operating system by exploring its version control system.,"['Importing & Cleaning Data', 'Case Studies']",guided,0
36,Python,Recreating John Snow's Ghost Map,Recreate John Snow's famous map of the 1854 cholera outbreak in London.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
37,R,Level Difficulty in Candy Crush Saga,"Analyze data from the hit mobile game, Candy Crush Saga. ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
38,R,Visualizing Inequalities in Life Expectancy,Compare life expectancy across countries and genders with ggplot2.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
39,R,Scout your Athletics Fantasy Team,Analyze athletics data to find new ways to scout and assess jumpers and throwers.,['Case Studies'],guided,0
40,Python,Mobile Games A/B Testing with Cookie Cats,"Analyze an A/B test from the popular mobile puzzle game, Cookie Cats.",['Case Studies'],guided,0
41,Python,A New Era of Data Analysis in Baseball,Use MLB's Statcast data to compare New York Yankees sluggers Aaron Judge and Giancarlo Stanton.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
42,Python,Naive Bees: Image Loading and Processing,"Load, transform, and understand images of honey bees and bumble bees in Python.","['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
43,Python,Generating Keywords for Google Ads,Automatically generate keywords for a search engine marketing campaign using Python. ,['Data Manipulation'],guided,0
44,Python,Naive Bees: Predict Species from Images,Build a model that can automatically detect honey bees and bumble bees in images.,"['Data Manipulation', 'Data Visualization', 'Machine Learning']",guided,0
45,R,Partnering to Protect You from Peril,Examine the network of connections among local health departments in the United States.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
46,R,What Your Heart Rate Is Telling You,Examine the relationship between heart rate and heart disease using multiple logistic regression.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
47,Python,Classify Song Genres from Audio Data,Rock or rap? Apply machine learning methods in Python to classify songs into genres.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
48,R,Explore 538's Halloween Candy Rankings,Get ready for Halloween by digging into a FiveThirtyEight dataset with all your favorite candy! ,"['Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
49,Python,Who's Tweeting? Trump or Trudeau?,Build a machine learning classifier that knows whether President Trump or Prime Minister Trudeau is tweeting!,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
50,R,Where Would You Open a Chipotle?,Create and explore interactive maps using Leaflet to determine where to open the next Chipotle.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
51,Python,Do Left-handed People Really Die Young?,Use pandas and Bayesian statistics to see if left-handed people actually die earlier than righties.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
52,R,"Drunken Datetimes in Ames, Iowa","Apply your skills from ""Working with Dates and Times in R"" to breathalyzer data from Ames, Iowa. ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
53,R,Predict Taxi Fares with Random Forests,Use regression trees and random forests to find places where New York taxi drivers earn the most. ,"['Data Visualization', 'Machine Learning', 'Case Studies']",guided,0
54,Python,Which Debts Are Worth the Bank's Effort?,Play bank data scientist and use regression discontinuity to see which debts are worth collecting.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
55,Python,ASL Recognition with Deep Learning,Build a convolutional neural network to classify images of letters from American Sign Language.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
56,R,A Text Analysis of Trump's Tweets,Apply text mining to Donald Trump's tweets to confirm if he writes the (angrier) Android half. ,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
57,R,Where Are the Fishes?,Explore acoustic backscatter data to find fish in the U.S. Atlantic Ocean. ,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
58,R,Clustering Heart Disease Patient Data,Experiment with clustering algorithms to help doctors inform treatment for heart disease patients.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
59,Python,Naive Bees: Deep Learning with Images,Build a deep learning model that can automatically detect honey bees and bumble bees in images.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
60,R,Going Down to South Park: A Text Analysis,Analyze the dialog and IMDB ratings of 287 South Park episodes. Warning: contains explicit language.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
61,R,Gender Bias in Graduate Admissions,Analyze admissions data from UC Berkeley and find out if the university was biased against women.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
62,R,Degrees That Pay You Back,Explore the salary potential of college majors with a k-means cluster analysis.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
63,Python,Book Recommendations from Charles Darwin,"Build a book recommendation system using NLP and the text of books like ""On the Origin of Species.""","['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
64,Python,Extract Stock Sentiment from News Headlines,Scrape news headlines for FB and TSLA then apply sentiment analysis to generate investment insight.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
65,R,Data Science for Social Good: Crime Study,"Use data science to catch criminals, plus find new ways to volunteer personal time for social good.","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
66,R,Planning Public Policy in Argentina,Apply unsupervised learning techniques to help plan an education program in Argentina.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
67,R,Clustering Bustabit Gambling Behavior,Use cluster analysis to glean insights into cryptocurrency gambling behavior.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
68,Python,Give Life: Predict Blood Donations,Build a binary classifier to predict if a blood donor is likely to donate again.,"['Data Manipulation', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
69,Python,Find Movie Similarity from Plot Summaries,Use NLP and clustering on movie plot summaries from IMDb and Wikipedia to quantify movie similarity.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
70,R,The Impact of Climate Change on Birds,Predict the impact of climate change on bird distributions using spatial data and machine learning.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
71,R,Are You Ready for the Zombie Apocalypse?,Use your logistic regression skills to protect people from becoming zombies! ,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
72,R,Trends in Maryland Crime Rates,Apply hierarchical and mixed-effect models to analyze Maryland crime rates.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Case Studies']",guided,0
73,R,Health Survey Data Analysis of BMI,Analyze health survey data to determine how BMI is associated with physical activity and smoking.,"['Data Manipulation', 'Probability & Statistics', 'Case Studies']",guided,0
74,Python,Comparing Cosmetics by Ingredients,Process ingredient lists for cosmetics on Sephora then visualize similarity using t-SNE and Bokeh.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
75,R,Kidney Stones and Simpson's Paradox,Use logistic regression to determine which treatment procedure is more effective for kidney stone removal.,"['Data Visualization', 'Probability & Statistics', 'Case Studies']",guided,0
76,R,What Makes a Pokemon Legendary?,Use tree-based machine learning methods to identify the characteristics of legendary Pok̩mon.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
77,Python,Analyze Your Runkeeper Fitness Data,"Import, clean, and analyze seven years worth of training data tracked on the Runkeeper app.","['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
78,R,Modeling the Volatility of US Bond Yields,Discover how the US bond yields behave using descriptive statistics and advanced modeling.,"['Data Visualization', 'Applied Finance']",guided,0
79,Python,Disney Movies and Box Office Success,"Explore Disney movie data, then build a linear regression model to predict box office success.","['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
80,R,Importing and Cleaning Data,Apply your importing and data cleaning skills to real-world soccer data.,"['Data Manipulation', 'Importing & Cleaning Data', 'Case Studies']",guided,0
81,Python,Real-time Insights from Social Media Data,Learn to analyze Twitter data and do a deep dive into a hot trend.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
82,R,Text Mining America's Toughest Game Show,Use text mining to analyze Jeopardy! data. ,['Case Studies'],guided,0
83,Python,Streamlining Employee Data,Use DataFrames to read and merge employee data from different sources.,"['Data Manipulation', 'Importing & Cleaning Data']",guided,0
84,Python,Exploring the History of Lego,Use a variety of data manipulation techniques to explore different aspects of Lego's history!,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
85,Python,Exploring the History of Lego,Use a variety of data manipulation techniques to explore different aspects of Lego's history!,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",unguided,0
86,Python,Word Frequency in Classic Novels,"Use web scraping and NLP to find the most frequent words in one of two pieces of classic literature: Herman Melville's novel, Moby Dick, or Peter Pan by J. M. Barrie.","['Importing & Cleaning Data', 'Case Studies']",guided,0
87,Python,Word Frequency in Classic Novels,"Use web scraping and NLP to find the most frequent words in one of two pieces of classic literature: Herman Melville's novel, Moby Dick, or Peter Pan by J. M. Barrie.","['Importing & Cleaning Data', 'Case Studies']",unguided,0
88,R,Bad Passwords and the NIST Guidelines,Check what passwords fail to conform to the National Institute of Standards and Technology password guidelines.,"['Data Manipulation', 'Importing & Cleaning Data', 'Case Studies']",guided,0
89,R,Bad Passwords and the NIST Guidelines,Check what passwords fail to conform to the National Institute of Standards and Technology password guidelines.,"['Data Manipulation', 'Importing & Cleaning Data', 'Case Studies']",unguided,0
90,Python,Bad Passwords and the NIST Guidelines,Check what passwords fail to conform to the National Institute of Standards and Technology password guidelines.,"['Data Manipulation', 'Importing & Cleaning Data', 'Case Studies']",guided,0
91,Python,Bad Passwords and the NIST Guidelines,Check what passwords fail to conform to the National Institute of Standards and Technology password guidelines.,"['Data Manipulation', 'Importing & Cleaning Data', 'Case Studies']",unguided,0
92,R,"Who Is Drunk and When in Ames, Iowa?","Flex your data manipulation muscles on breath alcohol test data from Ames, Iowa, USA.","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
93,Python,"Who Is Drunk and When in Ames, Iowa?","Flex your data manipulation muscles on breath alcohol test data from Ames, Iowa, USA.","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
94,R,Reducing Traffic Mortality in the USA,How can we find a good strategy for reducing traffic-related deaths?,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
95,Python,Reducing Traffic Mortality in the USA,How can we find a good strategy for reducing traffic-related deaths?,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Importing & Cleaning Data']",guided,0
96,R,Functions for Food Price Forecasts,Write functions to forecast time series of food prices in Rwanda.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
97,R,Functions for Food Price Forecasts,Write functions to forecast time series of food prices in Rwanda.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",unguided,0
98,Python,Comparing Search Interest with Google Trends,Manipulate and plot time series data from Google Trends to analyze changes in search interest over time.,"['Data Manipulation', 'Data Visualization', 'Reporting', 'Importing & Cleaning Data']",guided,0
99,Python,Comparing Search Interest with Google Trends,Manipulate and plot time series data from Google Trends to analyze changes in search interest over time.,"['Data Manipulation', 'Data Visualization', 'Reporting', 'Importing & Cleaning Data']",unguided,0
100,Python,Analyzing TV Data,Use data manipulation and visualization to explore one of two different television broadcast datasets: The Super Bowl and hit sitcom The Office!,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
101,R,"TV, Halftime Shows, and the Big Game","Load, clean, and explore Super Bowl data in the age of soaring ad costs and flashy halftime shows.","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
102,R,Exploring the NYC Airbnb Market,Apply data importing and cleaning skills to extract insights about the New York City Airbnb market.,"['Data Manipulation', 'Importing & Cleaning Data']",guided,0
103,R,Exploring the NYC Airbnb Market,Apply data importing and cleaning skills to extract insights about the New York City Airbnb market.,"['Data Manipulation', 'Importing & Cleaning Data']",unguided,0
104,Python,Exploring the NYC Airbnb Market,Apply data importing and cleaning skills to extract insights about the New York City Airbnb market.,"['Data Manipulation', 'Importing & Cleaning Data']",guided,0
105,Python,Exploring the NYC Airbnb Market,Apply data importing and cleaning skills to extract insights about the New York City Airbnb market.,"['Data Manipulation', 'Importing & Cleaning Data']",unguided,0
